id,name,isActive,resources,connectors
UmVtb3RlTmV0d29yazoxNjY2ODY=,Anyscale VPC,True,['UmVzb3VyY2U6MjcyMzk1NA=='],['Q29ubmVjdG9yOjQyOTk1MA==']
UmVtb3RlTmV0d29yazoxNzc0MTk=,Anyscale EUC1 VPC,True,['UmVzb3VyY2U6Mjc1NzU0Mw=='],['Q29ubmVjdG9yOjQ1NjI1Ng==']
UmVtb3RlTmV0d29yazoxODM0NDA=,Turbopuffer VPC,True,"['UmVzb3VyY2U6Mjc4MTQ2Mg==', 'UmVzb3VyY2U6MzQ4NDA1MA==']",['Q29ubmVjdG9yOjQ3MjE2MQ==']
UmVtb3RlTmV0d29yazoxOTQ0OTQ=,Dev Portal EUC1 VPC,True,[],"['Q29ubmVjdG9yOjUwMzA5OQ==', 'Q29ubmVjdG9yOjUwMzExMQ==']"
UmVtb3RlTmV0d29yazoxOTc3MjA=,Prod Portal EUC1 VPC,True,"['UmVzb3VyY2U6Mjg2MjE0Mw==', 'UmVzb3VyY2U6MzMzMDAwNA==']","['Q29ubmVjdG9yOjUxMTk3MA==', 'Q29ubmVjdG9yOjUxMTk3NA==']"
UmVtb3RlTmV0d29yazoyMDY3MTk=,Salestino VPC,True,"['UmVzb3VyY2U6MjkzNDc4Mg==', 'UmVzb3VyY2U6Mjk4MDIyNA==', 'UmVzb3VyY2U6MzQ4NDA0Mg==', 'UmVzb3VyY2U6MzQ4NDA0Ng==']",['Q29ubmVjdG9yOjUzNzU0NQ==']
UmVtb3RlTmV0d29yazoyMTEwNjE=,OneHouse VPC,True,['UmVzb3VyY2U6Mjk3NTQ1Ng=='],['Q29ubmVjdG9yOjU0OTU2Mw==']
UmVtb3RlTmV0d29yazoyNzE5NjU=,Playground (ap-northeast-1),True,"['UmVzb3VyY2U6MzI3ODgwNg==', 'UmVzb3VyY2U6MzQ4NDAxMA==']",['Q29ubmVjdG9yOjcwOTIwOQ==']
UmVtb3RlTmV0d29yazoyODQ4NjI=,Onehouse EUC1 VPC,True,['UmVzb3VyY2U6MzM0NDA1OQ=='],['Q29ubmVjdG9yOjc0MzIyNg==']
UmVtb3RlTmV0d29yazoyOTE5ODA=,AI Enablement Prod USW2 VPC,True,"['UmVzb3VyY2U6MzM5MDEwMg==', 'UmVzb3VyY2U6MzM5NTEzMA==', 'UmVzb3VyY2U6MzQwMzc4MQ==', 'UmVzb3VyY2U6MzQ4NDAyMA==', 'UmVzb3VyY2U6MzQ4NDAzOQ==']",['Q29ubmVjdG9yOjc2MTU2Ng==']
